site;fish;parspeciesrichness;div_shannon;div_simpson;temp;pH;conductivity;nitrogen;phosphorus;oxygen;netcen;updist;updist2;updist3;fishspeciesrichness;weight;weigh (g);length;SMI;Sex ;Gyr;Tri;Glu;ecto_screener;Con;CysL;Pro;Aca;Cam;Ang;CysI;endo_screener;PI;PI_ecto;PI_endo
6;2;3;0.367649477;0.169421488;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;60;0.6;37;0.649953546;F;1;20;0;PH;0;1;0;0;0;0;0;PH;3.804855642;0.471522142;3.3333335
6;3;1;0;0;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;30;0.3;29;0.733566316;F;0;1;0;SM;0;0;0;0;0;0;0;SM;0.008424597;0.008424597;0
6;4;1;0;0;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;68;0.68;37;0.736614019;F;0;12;0;ID;0;0;0;0;0;0;0;ID;0.101095166;0.101095166;0
6;7;2;0.500402424;0.32;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;65;0.65;35;0.847807258;M;0;4;0;SM;0;1;0;0;0;0;0;SM;3.367031889;0.033698389;3.3333335
6;8;1;0;0;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;58;0.58;34;0.833457694;M;0;10;0;SM;0;0;0;0;0;0;0;SM;0.084245972;0.084245972;0
6;9;2;0.500402424;0.32;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;89;0.89;41;0.684118565;F;1;4;0;PH;0;0;0;0;0;0;0;PH;0.336728587;0.336728587;0
6;10;1;0;0;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;74;0.74;39;0.672290501;F;0;396;0;PH;0;0;0;0;0;0;0;PH;3.336140482;3.336140482;0
6;11;0;0;1;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;72;0.72;36;0.854731592;F;0;0;0;PH;0;0;0;0;0;0;0;PH;0;0;0
6;12;1;0;0;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;62;0.62;36;0.736018871;M;0;53;0;ID;0;0;0;0;0;0;0;PH;0.44650365;0.44650365;0
6;13;1;0;0;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;38;0.38;29;0.929184001;M;0;2;0;ID;0;0;0;0;0;0;0;ID;0.016849194;0.016849194;0
