"","vmm","year","T_av","pH_av","O2_av","O2_sat_av","con_av","Cl_av","BOC_av","COD_av","KjN_av","NH4_av","NO3_av","NO2_av","Nt_av","Pt_av","oPO4_av","SO4_av","SM_av","T_max","pH_max","O2_max","O2_sat_max","con_max","Cl_max","BOC_max","COD_max","KjN_max","NH4_max","NO3_max","NO2_max","Nt_max","Pt_max","oPO4_max","SO4_max","SM_max","T_min","pH_min","O2_min","O2_sat_min","con_min","Cl_min","BOC_min","COD_min","KjN_min","NH4_min","NO3_min","NO2_min","Nt_min","Pt_min","oPO4_min","SO4_min","SM_min","T","pH","O2","O2_sat","con","Cl","BOC","COD","KjN","NH4","NO3","NO2","Nt","Pt","oPO4","SO4","SM","site","updist","netcen","updist2","Updist3"
"KjN_av",-0.0357850769339763,0.1850105397978,0.193505693553766,-0.208388570179541,-0.661394704526019,-0.62543442392694,-0.325281265225081,0.477910338773257,0.0905869383920427,0.580220260031494,1,0.851412161009622,0.166104646937475,-0.122554947554168,0.584833805710253,0.854206199456731,-0.138250122296925,0.108764761234984,-0.00159130716120981,0.0309584118042017,-0.0932324311683043,-0.378602766574535,-0.226599256367561,0.157539308676634,0.316226326297614,0.196066446333446,0.426661567255042,0.909132406202073,0.855026295369288,0.373304107306232,-0.118278558396398,0.637330730554388,0.706528992213,-0.130031965060003,-0.00810424970845464,-0.0327972007148368,0.236144606173654,-0.171611187699471,-0.48474167868873,-0.498234876079885,-0.522959854040738,0.432822718077946,0.00711711097829124,0.621682825271158,0.522916319873969,0.557391411641101,-0.238544850552185,-0.145662694725417,0.443554648147705,0.792026090947645,-0.145554787283123,0.00352720237388902,0.0817397968595304,-0.0594924848342283,-0.159567136845344,-0.317297099408328,-0.358644729926802,0.174483250630995,0.241863818009939,-0.0705815656548668,0.458801430006135,0.57919349509391,0.589965802867559,-0.0627524045725603,-0.129802774561961,0.467874922285678,0.631010103845086,-0.142501153078905,0.0283799527505755,-0.0175336048943711,-0.104784452991318,-0.142704131829127,-0.0357239937827182,-0.158027217118296,-0.095226135686243
"NH4_av",-0.0398634838131249,0.1539266996718,0.147703457091434,-0.267385491318706,-0.666437296517909,-0.654230521938825,-0.376133524472143,0.475525740525539,0.495477671708625,0.413269428649165,0.851412161009622,1,0.108194306649202,0.356255206624092,0.480445893595634,0.756438771628384,0.330171165241471,0.0618919706542529,0.0306232456211525,0.0835716683784446,-0.214654294841072,-0.452869934850221,-0.316503657443902,0.117529903179878,0.327141337688653,0.461861613230525,0.304300874091985,0.824094476406359,0.93526974028593,0.337686808250621,0.362970367201095,0.524321584421342,0.559621442464672,0.335652406523513,-0.0462579454675932,-0.0226981442983154,0.24158741093571,-0.221525997525043,-0.47740791513771,-0.489502823127514,-0.472954791229789,0.436019525094902,0.482355539220968,0.412412201676375,0.307466411300509,0.792976283620583,-0.310970065633454,0.325485926727014,0.331915773537438,0.711390902165243,0.323684591978198,-0.0293879029149298,0.12876310689212,-0.0290708178203758,-0.181750342592679,-0.428991542061153,-0.477260383491516,0.158708107746929,0.267992822597199,0.444317118543802,0.370541012186929,0.628869278611248,0.743407090883531,-0.222613674268676,0.342796737015855,0.347691767118288,0.649555612776444,0.327489631325409,-0.0428890904056979,-0.00896235492469929,-0.277751287790694,-0.175685331995487,-0.192767675541913,-0.114459768638457,-0.0372978875913925
"NO3_av",0.217053627466238,-0.309417498570856,0.126860820422212,0.182522183343208,0.173353964017263,0.232639906138047,0.128728483514,0.471126340352976,-0.367914171637057,-0.0827384948080785,0.166104646937475,0.108194306649202,1,-0.182402201317597,0.893024942229737,0.189123287216786,-0.237959358861924,0.262888374762613,0.0539720525939569,-0.0264733630486552,-0.0105210009662718,-0.214008045821564,-0.0609145704447123,0.284562068477179,0.322175249189978,-0.446401368677008,-0.175313040911843,0.290644867162916,0.1765359569453,0.913887612358674,-0.182922504538088,0.705155159970532,-0.0684170515003465,-0.241001568402041,0.186112840522081,0.132657915869399,0.213575652598719,0.242565999961119,0.30867130886349,0.306938367165506,0.112667996058883,0.492764698351935,-0.274654681950624,-0.197548079721177,-0.0669902292513398,-0.161634889252882,0.649393198430037,-0.218268485560362,0.87391418958311,0.220610016898072,-0.23990811844804,0.229333203808573,0.0668786682547487,-0.0636032313557986,0.243660152503046,0.19319660642171,0.206373204151451,0.287373035751611,0.394076828576342,-0.159589675879782,0.206567655850579,0.422638048484483,0.353632185770605,0.601884532552267,-0.227525220184797,0.878006422403604,0.327709101299044,-0.236261820784327,0.361575248419384,-0.0504740400021485,-0.182866430309034,-0.0493659202888272,0.138523350241698,-0.183408591375618,-0.1234132215776
"NO2_av",-0.0251657261715065,0.00627250244319772,-0.228744572420585,-0.0192930020645366,-0.139736427514013,-0.196734214676631,0.00986733789407788,-0.0084566318050532,0.896172124977326,-0.330797639317046,-0.122554947554168,0.356255206624092,-0.182402201317597,1,-0.214126039110788,-0.0938167520587996,0.996598099709058,0.0912952813904487,-0.0252613796122105,-0.0234145043790236,-0.0748520721631882,-0.146412817375854,-0.163531997330876,0.0663306852222498,0.00325524550187012,0.733401616573178,-0.250180958201123,-0.0678674914244435,0.202751079920086,-0.164715979603619,0.997729977822163,-0.229494227882503,-0.115717671875043,0.99627904840978,0.0417837129286509,-0.0600657862143478,-0.00606524151308204,-0.00406145948147827,-0.103008856084275,-0.0858742810499465,0.0477389802078045,-0.0139606641808964,0.934734100955746,-0.30980163083511,-0.323209674937459,0.586749607641518,-0.1755281661817,0.997868277242341,-0.202786980195774,-0.0646608799679782,0.996464395519259,0.0929548193838012,0.0903506825051471,-0.192173319734131,0.0145300903367383,-0.097274063313782,-0.163880974068478,0.0779796131492552,0.011068015643586,0.944005107981706,-0.192314675422148,0.00597594210462026,0.209117550075505,-0.213141116642795,0.994666319999891,-0.226927671160561,-0.0322492259284179,0.996655168915174,0.12572043235982,-0.0390479290371993,-0.277274356801128,0.0612563693789943,-0.134797151273875,0.139953092577109,0.154431436631711
"Nt_av",0.132145457060659,-0.258076359700574,0.231131835523667,0.0463978856389882,-0.177387972022273,-0.10887418313596,-0.0456383666259223,0.575013527221365,-0.29652668723681,0.2034721413721,0.584833805710253,0.480445893595634,0.893024942229737,-0.214126039110788,1,0.540337528140889,-0.269859909217678,0.244636503078145,0.0711710407330314,0.030268471351841,-0.0694049473774038,-0.354475886344044,-0.169291635221513,0.286225503215723,0.402186474782405,-0.315093156507117,0.0740649236408073,0.632165802712888,0.535079977486535,0.913790987016919,-0.210159811272694,0.877861864259709,0.272612666874532,-0.268866678789742,0.131035681948217,0.11962576447447,0.264474398366479,0.111925977460134,0.00986995782980132,0.00291509294557763,-0.146382342403871,0.570296899451353,-0.250812819537468,0.126523535810479,0.204988427432016,0.13280815126992,0.451409807259119,-0.255505451459255,0.92123021434317,0.539121493678282,-0.274402198848619,0.173880784278211,0.104153793819801,-0.0442037603856693,0.125462796530892,-0.0026764945052972,-0.00539882054716938,0.29098991112272,0.4147820386602,-0.190444433152437,0.361550681715683,0.575583386331591,0.534173303689236,0.482537265460904,-0.253044300945032,0.922077634069114,0.541667239398858,-0.270478221584511,0.298350338918363,-0.0373340732841431,-0.206475632969074,-0.138575252100994,0.0482473792674596,-0.251921147938104,-0.147937743876031
"Pt_av",-0.0537585279787741,0.0502402620222014,0.18729275500081,-0.208306513741804,-0.670544586280742,-0.652153410671456,-0.275462305250407,0.6634396648069,0.0979206442044825,0.671486540709695,0.854206199456731,0.756438771628384,0.189123287216786,-0.0938167520587996,0.540337528140889,1,-0.1159815335559,0.0119211838538068,0.227522368489278,0.245825142124183,-0.0743798442775742,-0.569408344338085,-0.393046924947144,0.26700333954279,0.53378820951865,0.201378115684082,0.518512971756564,0.845865151056123,0.762392404075862,0.400057421891943,-0.082160822798675,0.549814316039767,0.85381996994886,-0.108047127071967,-0.16063851988931,0.179348576587206,0.157638305876752,-0.191212658281661,-0.474656617147622,-0.48685726069774,-0.560921138204235,0.573356588566798,-0.008336179884437,0.675046078367514,0.374730508997254,0.49611805498891,-0.268601097287707,-0.12410509307428,0.415253258476804,0.920088368674184,-0.122762820988839,-0.0254552519810006,0.197366380543225,-0.0944126310938498,-0.0853872412576414,-0.245490706714081,-0.312794941941788,0.253899645773652,0.406165527379358,-0.0333043302174774,0.540489028969526,0.594827846495007,0.61821771751707,-0.136987609510456,-0.0915019100107604,0.413001991510294,0.752507992666836,-0.120245799051867,-0.0155594880684725,0.122100552462725,-0.0387609049842658,-0.270782907238603,-0.165056407582437,-0.231227367419497,-0.0224366562288763
"oPO4_av",-0.0172362660959851,0.000160950187721673,-0.244160776201507,-0.0211051129955631,-0.134995070553176,-0.19545964203234,0.0122588809244463,-0.0379785239827109,0.903641420751067,-0.336303702030659,-0.138250122296925,0.330171165241471,-0.237959358861924,0.996598099709058,-0.269859909217678,-0.1159815335559,1,0.234693558046102,-0.0496190438466936,-0.0418187603011936,-0.0666841569601428,-0.12903309068493,-0.155996193974103,0.0564075562166513,-0.020483980727911,0.749492252685619,-0.24989743664487,-0.087862334313901,0.174319781840637,-0.214076988233373,0.992284299123684,-0.275758768451991,-0.119592493827631,0.999876004176222,0.0636714735962975,-0.0861836635580981,-0.0164267994587223,-0.00695782072619869,-0.100208355349228,-0.0837709068573163,0.0548954403320997,-0.0394313490549843,0.933425091839256,-0.310833976348437,-0.329232051686659,0.579101497412191,-0.212763049195577,0.998628852705024,-0.258273845117136,-0.0908142183946934,0.99995885184345,0.185312171243932,0.0703358810522744,-0.193425025119054,0.0038163709395846,-0.0945113576515973,-0.161415493305987,0.0721409437799782,-0.0211651995770508,0.941341046115432,-0.213852145356618,-0.0189804033726706,0.180034481229665,-0.240612177058778,0.994135103088154,-0.273445341659821,-0.0639557904708648,0.999952171344326,0.135637532721444,-0.051541539049931,-0.26536089908406,0.0808144975773798,-0.107507478310841,0.162644801481055,0.139623616498856
"SO4_av",0.19404638741066,-0.125240783872543,0.186380044598598,0.658238266350925,0.292759814162461,0.33637112642731,0.590199318345345,0.260097560519185,0.527862406274218,-0.247398293843908,0.108764761234984,0.0618919706542529,0.262888374762613,0.0912952813904487,0.244636503078145,0.0119211838538068,0.234693558046102,1,-0.175301899314844,0.104222064781072,0.48739642230143,0.280857932353109,0.268879268866568,0.743210174831075,0.186920256212857,0.322560331949424,-0.32061344515894,0.0567441441362316,0.00470667838463986,0.243830143159522,-0.142832490988645,0.157008599405289,-0.149879009217345,0.142363381649256,0.87782148346648,-0.116726777949413,-0.0570522690470842,0.605800394100597,0.21353628983362,0.284130077476223,0.347755378044816,0.305392095744931,0.791714527578588,-0.179955331093257,0.128275329462134,0.222499390384431,0.189257245802794,0.341847946384606,0.255238627345957,0.123053449300191,0.257619692255785,0.858546093785031,-0.0611256423627659,0.138241062316583,0.66103183295991,0.277586776273819,0.393344890145442,0.678036015567127,0.253573132848357,0.30339051419709,0.0112915141258279,0.0220032169890609,-0.00205768564193166,0.2703412722317,-0.277585040492605,0.236979577486516,0.0847590457174616,0.189339350544187,0.847331465963899,-0.0408927194985201,-0.0595450253648293,0.35964056348717,0.472674174433907,0.100439327437077,0.153789181120792
"SM_av",-0.310800516074818,0.0558659256290129,-0.122670515581656,-0.107709429367828,-0.0531281553224619,-0.0953654772470868,-0.0518607298485524,-0.121730381901515,-0.0743922492899682,0.278379671452869,-0.00159130716120981,0.0306232456211525,0.0539720525939569,-0.0252613796122105,0.0711710407330314,0.227522368489278,-0.0496190438466936,-0.175301899314844,1,0.0411268658242338,-0.125728924097517,-0.162318862140575,-0.236726392353395,-0.107005548135949,-0.174350373153709,-0.0439380570812613,0.354358589646734,-0.00569816875098927,0.0470273214842026,-0.0153836722129903,-0.00815027221871172,0.0384999075689039,0.246183363106896,-0.0513869756721171,-0.287328245048439,0.876896550650664,-0.0249216534085122,-0.0700196656737321,-0.00444062213086652,0.00335625978866078,0.0152614055667119,-0.118117000674675,-0.0826016866771051,0.177236129904995,0.226432708927584,0.0446255391991002,0.185410505583546,-0.0386815077132711,0.136013364367424,0.311909489623808,-0.0479370704782415,-0.0880418356500534,0.671889073860011,-0.0367013253286619,-0.0509785046078183,-0.000352656770796085,-0.01991269726831,0.0418318993502825,-0.103134293768178,-0.0877447060381446,-0.00243231432981925,-0.0870246844838575,-0.00593019358796541,0.0790503125822116,-0.0173407763230598,0.0207242285010974,0.0414748789343247,-0.0505080704374424,-0.085096703626522,0.310360348053264,-0.0660765754175676,-0.16794500352497,-0.282053428994218,-0.0597054474208948,0.00235674642003002
"T_max",0.00946092723147831,0.24242192036174,0.531515553338641,0.024787673243603,-0.314601962519723,-0.205134804131175,0.0290958083854922,0.245875572761872,-0.0540697312187974,0.202128773873095,0.0309584118042017,0.0835716683784446,-0.0264733630486552,-0.0234145043790236,0.030268471351841,0.245825142124183,-0.0418187603011936,0.104222064781072,0.0411268658242338,1,0.169461156473229,-0.0461186561943734,0.198856579732383,0.182643453461444,0.266694519255642,-0.0280567159510443,0.269918428958032,0.0497748956512315,0.170837629803554,0.0546515191325409,0.000969144339444353,0.206561114765128,0.282364245329746,-0.0406270697905846,0.0289972887970993,0.127942788813561,-0.11442940598266,-0.0887230270021688,-0.504058582995203,-0.442198259002215,-0.151693677929705,0.147282250249668,-0.113242049157591,0.251207645401518,-0.039919303656538,0.0367102281432784,-0.182847949693764,-0.0457104139882716,-0.0979689685070443,0.205111259603923,-0.0416135326820285,0.129539613880715,-0.0723609428945271,0.227971104245394,0.107020586003885,-0.285003305887092,-0.228192544550032,0.0674357044215856,0.309851241786488,-0.00918528780952663,0.226295800312383,0.0296243367378833,0.0804481760635174,-0.0357205708201579,0.0034494678075609,0.0371792275962263,0.225526343049956,-0.0422539831021525,0.176879333491615,-0.0124976804223096,0.220767467005315,-0.5227439505415,-0.537281750829872,-0.499749364816896,0.519866725152393
