site,vmm,year,T_av,pH_av,O2_av,O2_sat_av,con_av,Cl_av,BOC_av,COD_av,KjN_av,NH4_av,NO3_av,NO2_av,Nt_av,Pt_av,oPO4_av,SO4_av,SM_av,T_max,pH_max,O2_max,O2_sat_max,con_max,Cl_max,BOC_max,COD_max,KjN_max,NH4_max,NO3_max,NO2_max,Nt_max,Pt_max,oPO4_max,SO4_max,SM_max,T_min,pH_min,O2_min,O2_sat_min,con_min,Cl_min,BOC_min,COD_min,KjN_min,NH4_min,NO3_min,NO2_min,Nt_min,Pt_min,oPO4_min,SO4_min,SM_min,T,pH,O2,O2_sat,con,Cl,BOC,COD,KjN,NH4,NO3,NO2,Nt,Pt,oPO4,SO4,SM
SITE_28,446000,2016,13.433,8.092,10.392,99.667,801.000,73.091,NA,20.909,1.273,0.354,3.855,0.127,4.636,0.327,0.233,87.091,18.064,23.400,8.500,13.600,154.000,974.000,110.000,NA,35.000,2.000,0.720,5.700,0.240,6.900,0.540,0.370,140.000,42.000,2.900,7.800,5.600,59.000,636.000,47.000,NA,12.000,1.000,0.040,2.900,0.047,3.100,0.160,0.120,65.000,4.100,10.800,8.000,9.300,84.000,778.000,68.000,NA,21.000,1.000,0.450,2.900,0.100,3.800,0.330,0.270,87.000,19.000
SITE_29,485000,2016,14.133,7.617,8.883,87.667,669.667,38.167,NA,14.000,1.333,0.227,6.733,0.069,7.550,0.192,0.054,72.833,11.367,17.900,7.700,10.200,98.000,762.000,42.000,NA,25.000,2.000,0.400,11.000,0.110,12.000,0.300,0.100,110.000,23.000,9.400,7.500,8.100,76.000,575.000,29.000,NA,6.000,1.000,0.140,4.500,0.022,4.800,0.130,0.015,55.000,4.600,10.000,7.500,8.500,76.000,762.000,42.000,NA,13.000,1.000,0.400,11.000,0.097,12.000,0.220,0.100,110.000,4.600
SITE_30,413460,2016,13.542,7.127,5.183,48.833,458.667,83.583,3.200,42.333,2.867,2.261,0.427,0.075,3.317,0.853,0.263,19.500,49.583,22.500,7.800,7.700,63.000,734.000,120.000,6.200,120.000,5.600,5.100,0.710,0.410,6.300,2.500,0.440,31.000,190.000,4.600,6.800,2.500,19.000,1.006,52.000,1.100,25.000,1.000,0.520,0.200,0.010,1.700,0.430,0.160,11.000,14.000,12.400,7.400,5.500,50.000,734.000,95.000,3.900,28.000,2.800,2.500,0.580,0.410,3.800,0.710,0.230,16.000,26.000
SITE_31,406000,2016,12.867,7.517,7.633,70.333,447.333,48.000,3.083,29.333,1.333,0.680,2.400,0.096,3.283,0.430,0.140,53.500,39.333,20.200,7.700,9.500,81.000,671.000,88.000,4.800,41.000,2.000,1.300,3.700,0.150,4.200,0.500,0.260,75.000,61.000,6.200,7.200,4.200,43.000,340.000,28.000,2.000,21.000,1.000,0.290,1.200,0.034,2.600,0.260,0.028,33.000,19.000,6.200,7.600,9.500,75.000,527.000,55.000,2.000,21.000,1.000,1.100,2.800,0.100,3.700,0.260,0.028,70.000,35.000
SITE_32,482000,2016,13.186,7.843,9.457,91.857,617.571,46.833,2.317,19.333,1.000,0.362,4.433,0.061,4.767,0.232,0.103,NA,27.250,17.900,8.000,10.700,99.000,687.000,59.000,3.200,38.000,1.000,1.200,5.600,0.100,5.200,0.460,0.160,NA,90.000,7.800,7.700,8.500,84.000,523.000,38.000,1.700,6.000,1.000,0.100,3.800,0.033,4.000,0.170,0.032,NA,6.500,8.500,7.700,9.600,84.000,687.000,59.000,3.200,19.000,1.000,1.200,4.400,0.073,5.200,0.200,0.160,NA,6.500
SITE_33,479500,2016,15.233,7.767,8.383,84.000,539.333,31.333,2.533,13.667,1.350,0.325,2.917,0.045,3.683,0.153,0.089,NA,14.317,20.400,8.000,12.100,123.000,580.000,35.000,5.800,18.000,2.100,0.870,3.900,0.076,4.900,0.270,0.190,NA,34.000,8.600,7.600,6.600,69.000,503.000,29.000,1.300,11.000,1.000,0.090,2.000,0.020,2.300,0.050,0.025,NA,3.000,9.000,7.600,7.900,69.000,580.000,35.000,1.900,13.000,1.000,0.370,3.400,0.054,3.700,0.120,0.088,NA,3.000
SITE_34,484300,2016,12.050,8.008,10.008,92.583,659.833,42.583,NA,14.750,1.633,0.336,6.850,0.113,8.050,0.243,0.090,71.083,17.808,19.500,8.100,12.500,97.000,734.000,49.000,NA,49.000,3.600,1.300,9.500,0.190,11.000,0.710,0.160,100.000,110.000,3.000,7.900,7.700,87.000,300.000,23.000,NA,7.000,1.000,0.100,2.200,0.037,3.400,0.100,0.024,25.000,3.400,8.600,8.000,11.000,96.000,726.000,45.000,NA,14.000,1.000,0.140,9.500,0.120,10.000,0.100,0.083,100.000,5.200
SITE_35,426000,2016,11.175,7.900,10.163,91.375,687.375,53.667,NA,26.000,1.167,0.395,3.700,0.132,4.317,0.345,0.144,67.167,42.667,17.000,8.100,11.800,96.000,791.000,65.000,NA,40.000,2.000,0.740,5.400,0.240,5.600,0.540,0.220,87.000,140.000,6.200,7.700,8.500,88.000,560.000,46.000,NA,11.000,1.000,0.040,1.800,0.052,3.200,0.220,0.061,51.000,7.000,6.200,7.900,11.000,88.000,791.000,65.000,NA,40.000,1.000,0.740,5.400,0.100,5.600,0.540,0.220,87.000,140.000
SITE_36,442500,2017,13.700,8.050,9.283,88.833,755.500,52.000,5.567,26.167,2.017,1.260,3.900,0.166,5.567,0.460,0.228,69.833,40.333,18.300,8.200,13.200,120.000,879.000,59.000,8.500,39.000,3.100,2.500,4.900,0.300,7.200,0.630,0.400,83.000,67.000,8.600,7.900,6.500,70.000,596.000,42.000,3.700,16.000,1.000,0.580,3.100,0.074,4.400,0.280,0.130,59.000,18.000,9.900,8.000,10.100,92.000,736.000,51.000,3.700,24.000,2.000,0.660,3.100,0.074,4.400,0.440,0.160,59.000,56.000
SITE_38,220100,2016,13.633,7.917,8.067,77.500,667.000,62.000,2.867,20.333,1.500,0.695,5.550,0.187,7.033,0.325,0.177,63.333,64.667,18.000,8.000,10.000,87.000,725.000,71.000,5.900,25.000,2.000,1.600,6.200,0.330,7.800,0.450,0.220,71.000,110.000,6.300,7.700,6.000,61.000,623.000,53.000,1.500,12.000,1.000,0.230,5.000,0.099,6.100,0.230,0.110,55.000,43.000,11.100,7.900,8.100,76.000,626.000,58.000,1.800,22.000,1.000,0.740,6.200,0.140,7.300,0.340,0.220,61.000,43.000
SITE_39,388500,2017,11.333,7.725,5.125,43.750,718.963,100.833,8.700,35.750,4.117,2.542,1.008,0.046,5.017,0.943,0.625,70.250,18.025,19.300,8.100,9.700,73.000,945.000,160.000,20.000,90.000,7.800,4.500,3.100,0.087,7.900,3.200,2.100,85.000,62.000,3.400,7.500,1.600,16.000,1.554,58.000,3.000,24.000,2.000,1.200,0.200,0.010,3.500,0.360,0.210,51.000,1.500,3.400,7.600,9.700,71.000,716.000,78.000,3.100,25.000,2.000,1.400,3.100,0.077,4.600,0.360,0.230,80.000,11.000
SITE_40,385600,2016,12.900,7.700,7.460,71.400,635.000,52.667,NA,16.400,2.800,2.208,0.755,0.060,3.243,0.274,0.248,60.833,4.700,17.600,8.000,14.700,140.000,672.000,63.000,NA,20.000,5.900,5.400,1.300,0.082,6.300,0.650,0.560,95.000,11.000,8.400,7.500,2.500,24.000,590.000,42.000,NA,12.000,1.000,0.090,0.400,0.027,0.860,0.120,0.075,35.000,3.000,12.100,7.500,2.500,24.000,672.000,63.000,NA,16.000,5.900,5.300,0.400,0.050,6.300,0.650,0.560,37.000,4.700
SITE_41,382800,2016,15.100,8.083,9.400,94.000,716.333,80.833,NA,15.167,1.000,0.165,2.308,0.045,2.550,0.285,0.215,70.667,7.117,21.600,8.200,12.300,122.000,885.000,120.000,NA,27.000,1.000,0.460,4.200,0.065,4.400,0.390,0.280,77.000,16.000,8.200,8.000,7.000,80.000,614.000,63.000,NA,8.000,1.000,0.070,0.750,0.023,1.200,0.170,0.140,63.000,3.000,13.000,8.200,9.200,90.000,799.000,100.000,NA,8.000,1.000,0.160,4.200,0.054,4.400,0.270,0.240,77.000,5.400
SITE_42,383500,2017,13.786,7.900,9.357,89.571,563.000,85.833,2.667,18.167,1.517,0.880,2.200,0.167,3.450,0.342,0.265,NA,9.367,18.800,8.000,10.900,93.000,776.000,160.000,4.600,23.000,2.100,2.000,2.900,0.230,5.200,0.660,0.560,NA,13.000,8.100,7.800,8.500,87.000,1.000,55.000,1.600,15.000,1.000,0.360,1.300,0.100,2.600,0.160,0.120,NA,3.300,11.500,7.900,9.600,87.000,659.000,71.000,1.600,15.000,1.000,0.360,2.200,0.200,3.000,0.530,0.480,NA,3.300
