fish;site;Updist3;updist;netcen;updist2;nr_species;Temp;pH;Conductivity;Nitrogen;Phosphorus;Oxygen;PI;PI_ecto;PI_endo;confactor2;weight;length;length in cm;weight in g;confactor;Sex ;gyro;tricho;glugea;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine
2;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;0.050547583;0.050547583;0;23.16089761;159;47;4.7;1.59;33.83;M;0;6;0;0;0;0;0;0;0;0
3;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;0.008424597;0.008424597;0;14.16089761;150;47;4.7;1.5;31.91;F;0;1;0;0;0;0;0;0;0;0
4;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;0.042122986;0.042122986;0;28.16089761;164;47;4.7;1.64;34.89;F;0;5;0;0;0;0;0;0;0;0
5;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;0.033698389;0.033698389;0;21.72640685;136;44;4.4;1.36;30.91;M;0;4;0;0;0;0;0;0;0;0
11;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;0.033698389;0.033698389;0;26.83997398;185;50;5;1.85;37;M;0;4;0;0;0;0;0;0;0;0
12;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;0.008424597;0.008424597;0;21.72640685;136;44;4.4;1.36;30.91;F;0;1;0;0;0;0;0;0;0;0
13;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;0;0;0;35.83997398;194;50;5;1.94;38.8;F;0;0;0;0;0;0;0;0;0;0
14;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;1.010951661;1.010951661;0;89.78615784;233;48;4.8;2.33;48.54;F;0;120;0;0;0;0;0;0;0;0
15;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;0.008424597;0.008424597;0;-19.54829754;109;46;4.6;1.09;23.7;F;0;1;0;0;0;0;0;0;0;0
16;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;0.025273792;0.025273792;0;-53.16002602;105;50;5;1.05;21;F;0;3;0;0;0;0;0;0;0;0
17;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;0.025273792;0.025273792;0;-4.548297545;124;46;4.6;1.24;26.96;F;0;3;0;0;0;0;0;0;0;0
18;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;1.436995815;0.008424597;1.428571218;-7.86443576;173;53;5.3;1.73;32.64;M;0;1;0;1;0;0;0;0;0;0
19;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;0;0;0;-8.499929954;92;42;4.2;0.92;21.9;M;0;0;0;0;0;0;0;0;0;0
20;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;0.32830399;0.32830399;0;1.341258254;152;49;4.9;1.52;31.02;F;1;3;0;0;0;0;0;0;0;0
1;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.395956067;0.395956067;0;6.374500081;45;31;3.1;0.45;14.52;M;0;47;0;0;0;0;0;0;0;0
2;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.185341138;0.185341138;0;-4.287197317;59;36;3.6;0.59;16.39;M;0;22;0;0;0;0;0;0;0;0
3;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.210614929;0.210614929;0;5.205246691;36;29;2.9;0.36;12.41;M;0;25;0;0;0;0;0;0;0;0
4;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.143218152;0.143218152;0;1.374500081;40;31;3.1;0.4;12.9;M;0;17;0;0;0;0;0;0;0;0
5;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;1.272114174;1.272114174;0;0.7330238;18;24;2.4;0.18;7.5;M;0;151;0;0;0;0;0;0;0;0
6;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.261162512;0.261162512;0;5.44892939;40;30;3;0.4;13.33;F;0;31;0;0;0;0;0;0;0;0
7;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.438079053;0.438079053;0;4.326405926;52;33;3.3;0.52;15.76;M;0;52;0;0;0;0;0;0;0;0
8;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.370682276;0.370682276;0;3.427775324;25;26;2.6;0.25;9.62;F;0;44;0;0;0;0;0;0;0;0
9;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.682392371;0.682392371;0;-0.794753309;30;29;2.9;0.3;10.34;M;0;81;0;0;0;0;0;0;0;0
10;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.77506294;0.77506294;0;-0.794753309;30;29;2.9;0.3;10.34;M;0;92;0;0;0;0;0;0;0;0
11;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.893007301;0.893007301;0;4.380291324;57;34;3.4;0.57;16.76;M;0;106;0;0;0;0;0;0;0;0
12;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.648693983;0.648693983;0;8.374500081;47;31;3.1;0.47;15.16;F;0;77;0;0;0;0;0;0;0;0
13;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0;0;0;1.326405926;49;33;3.3;0.49;14.85;F;0;0;0;0;0;0;0;0;0;0
15;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0;0.084245972;0;9.13556424;122;43;4.3;1.22;28.37;F;0;0;0;0;0;0;0;0;0;0
15;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.084245972;0;0;14.68275616;190;53;5.3;1.9;35.85;M;0;10;0;0;0;0;0;0;0;0
16;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.345153184;0.345153184;0;-48.58040331;155;56;5.6;1.55;27.68;F;1;5;0;0;0;0;0;0;0;0
17;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.488626636;0.488626636;0;-22.98102111;46;37;3.7;0.46;12.43;M;0;58;0;0;0;0;0;0;0;0
18;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.404380664;0.404380664;0;-9.625499919;29;31;3.1;0.29;9.35;F;0;48;0;0;0;0;0;0;0;0
19;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.876158106;0.876158106;0;-10.37032314;17;28;2.8;0.17;6.07;M;0;104;0;0;0;0;0;0;0;0
20;4;6736;65226.64401;63911.70352;28980;1;17.3;7.9;993;7.5;0.76;6.6;0.126368958;0.126368958;0;-7.370323139;20;28;2.8;0.2;7.14;F;0;15;0;0;0;0;0;0;0;0
1;5;12171;67952.65478;64168.17228;31664;3;19.1;8.1;940;1;0.19;9;0.32855929;0.32855929;0;6.164573389;100;41;4.1;1;24.39;F;0;39;0;0;0;0;0;0;0;0
2;5;12171;67952.65478;64168.17228;31664;3;19.1;8.1;940;1;0.19;9;0.143218152;0.143218152;0;3.427775324;25;26;2.6;0.25;9.62;M;0;17;0;0;0;0;0;0;0;0
3;5;12171;67952.65478;64168.17228;31664;3;19.1;8.1;940;1;0.19;9;2.489304562;1.060733345;1.428571218;0.44892939;35;30;3;0.35;11.67;M;3;18;0;1;0;0;0;0;0;0
