date;site;fish;confactor;weight;length;Sex ;# dorsal spines;gyro;tricho;glugea;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine
13/11/2018;17;3;15.66;103;40;M;3;0;8;0;0;0;0;0;0;0;0
21/02/2017;17;4;11.38;64;34;F;3;15;88;0;0;0;0;0;0;0;0
23/02/2017;17;5;4.38;57;34;F;3;0;3;0;0;0;0;0;0;0;0
13/11/2018;17;6;4.29;20;23;M;3;0;15;0;0;0;0;0;0;0;0
18/10/2018;17;7;15.16;109;41;M;3;0;6;0;0;0;0;0;0;0;0
21/02/2017;17;9;10.66;98;40;F;3;0;32;0;0;0;0;0;0;0;0
24/02/2017;17;10;2.38;55;34;F;4;0;328;0;0;0;0;0;0;0;0
11/01/2017;17;11;18.98;100;39;F;4;1;0;0;0;0;0;0;0;0;0
15/02/2017;17;12;42.5;143;42;M;3;9;3;0;0;0;0;0;0;0;0
15/02/2017;17;13;-48.16;110;50;F;3;8;58;0;0;0;0;0;0;0;0
15/02/2017;17;14;22.1;97;38;F;3;1;53;0;0;0;0;0;0;0;0
21/03/2019;17;15;-31.21;112;48;M;3;0;3;0;0;0;0;0;0;0;0
21/03/2019;17;17;-26.32;81;43;F;3;4;4;0;0;0;0;0;0;0;0
21/03/2019;17;18;-47.32;60;43;M;3;1;0;0;0;0;0;0;0;0;0
25/03/2019;17;19;-32.5;68;42;F;3;0;16;0;0;0;0;0;0;0;0
25/03/2019;17;20;-79.28;94;52;M;3;0;44;0;0;0;0;0;0;0;0
27/11/2018;18;1;3.98;85;39;M;3;0;2;0;0;0;0;0;0;11;0
8/11/2018;18;2;8.02;77;37;M;3;0;9;0;0;0;0;0;0;1;0
27/11/2018;18;3;-7.9;67;38;F;3;0;11;0;0;0;0;0;0;0;0
27/11/2018;18;5;15.37;54;31;M;3;0;125;0;0;0;0;0;0;9;0
27/11/2018;18;6;20.17;78;35;M;3;0;91;0;0;0;0;0;0;0;0
8/11/2018;18;7;19.38;72;34;M;3;0;1;0;0;0;1;0;0;0;0
15/02/2017;18;12;49.15;63;21;M;3;0;21;0;0;0;0;0;0;0;0
15/02/2017;18;13;16.37;55;31;F;3;0;168;0;0;0;0;0;0;0;0
4/03/2019;18;16;-9.84;126;47;M;3;0;1;0;0;0;0;0;0;0;0
4/03/2019;18;17;-53.7;112;51;M;3;0;1;0;0;0;0;0;0;0;0
4/03/2019;18;18;-14.62;38;34;M;3;1;2;0;0;0;0;0;0;5;0
4/03/2019;18;19;-21;22;32;F;3;0;6;0;0;0;0;0;0;0;0
4/03/2019;18;20;-28.83;29;35;M;3;0;30;0;0;0;0;0;0;0;0
15/11/2018;19;1;-2.29;61;36;F;3;1;9;0;0;0;0;0;0;0;0
21/02/2017;19;2;-3.02;78;39;M;3;0;2;0;0;0;0;0;0;0;0
24/02/2017;19;3;3.21;34;29;F;3;1;2;0;0;0;0;0;0;0;0
21/02/2017;19;4;1.45;36;30;F;3;4;60;0;0;0;0;0;0;0;0
23/02/2017;19;6;0.71;25;27;F;3;0;45;0;0;0;0;0;0;0;0
24/02/2017;19;7;2.77;22;25;F;3;4;14;0;0;0;0;0;0;0;0
20/11/2018;19;10;-0.79;30;29;F;3;3;44;0;0;0;0;0;0;0;0
4/01/2017;19;11;33.5;134;42;F;3;2;0;0;0;0;0;0;0;0;0
9/02/2017;19;12;49.68;157;43;M;4;1;3;0;0;0;0;0;0;0;0
9/02/2017;19;13;-34.29;29;36;F;3;1;1;0;0;0;0;0;0;0;0
21/01/2020;19;14;-10.58;193;56;F;3;4;1;0;0;0;0;0;0;0;0
21/01/2020;19;16;-85.58;118;56;F;4;2;0;0;0;0;0;0;0;0;0
21/01/2020;19;18;-14.67;33;33;M;3;0;3;0;0;0;0;0;0;0;0
21/01/2020;19;19;-49.55;79;46;M;3;0;3;0;0;0;0;0;0;0;0
21/01/2020;19;20;11.46;266;63;F;3;1;0;0;0;0;0;0;0;0;0
13/12/2018;20;5;-7.37;20;28;F;3;1;6;0;0;0;0;0;0;0;0
12/12/2018;20;6;1;44;32;M;3;5;27;0;0;0;0;0;0;0;0
12/12/2018;20;8;-1.57;20;26;M;3;0;11;0;0;0;0;0;0;0;0
17/12/2018;20;9;-2.71;13;23;F;3;8;3;0;0;0;0;0;0;0;0
13/12/2018;20;10;2.63;30;28;F;3;5;6;0;0;0;0;0;0;0;0
17/05/2018;21;2;19.68;127;43;F;3;0;22;2;0;0;0;0;0;0;0
31/10/2018;21;3;29.5;130;42;M;3;0;6;0;0;0;0;0;0;0;0
4/12/2018;21;4;6.33;54;33;F;3;0;6;0;0;0;0;0;0;0;0
6/12/2018;21;5;1.77;21;25;M;3;2;42;0;0;0;0;0;0;0;0
18/10/2018;21;6;18.68;126;43;M;4;0;25;0;0;0;0;0;0;0;0
4/12/2018;21;7;6.17;64;35;F;3;3;61;0;0;0;0;0;0;0;0
12/04/2018;21;9;5.33;53;33;F;3;0;14;4;0;0;0;0;0;0;0
6/12/2018;21;10;6.44;21;22;M;3;10;39;0;0;0;0;0;0;4;0
10/01/2017;21;11;6.98;88;39;M;3;0;0;0;0;0;0;1;0;0;0
9/02/2017;21;12;31.1;106;38;F;3;9;28;0;0;0;0;0;0;0;0
9/02/2017;21;13;-27.36;94;45;M;3;4;16;0;0;0;0;0;0;0;0
29/03/2019;21;14;-31.29;32;36;M;3;0;3;3;0;0;0;0;0;0;0
29/03/2019;21;15;-38.5;62;42;M;3;0;13;0;0;0;0;0;0;0;0
29/03/2019;21;16;4.17;62;35;M;3;1;17;0;0;0;0;0;0;0;0
29/03/2019;21;17;-54.27;60;44;M;3;0;1;0;0;0;0;0;0;0;0
29/03/2019;21;18;-6.29;57;36;M;3;1;9;3;0;0;0;0;0;0;0
29/03/2019;21;19;-30.84;105;47;F;3;0;2;0;0;0;0;0;0;0;0
29/03/2019;21;20;-43.34;44;40;M;3;0;1;0;0;0;0;0;0;0;0
17/05/2018;22;1;22.68;130;43;M;3;0;24;0;0;0;0;0;0;0;0
13/06/2018;22;2;14.45;143;46;M;3;0;16;0;0;0;0;0;0;0;0
23/05/2018;22;3;23.16;117;41;M;3;0;2;0;0;0;0;0;0;0;0
17/05/2018;22;4;5.64;127;45;M;3;0;7;0;0;0;0;0;0;0;0
13/06/2018;22;5;22.68;130;43;M;3;0;8;0;0;0;0;0;0;0;0
13/06/2018;22;7;6.63;34;28;M;3;0;7;0;0;0;0;0;0;0;0
4/01/2017;22;11;40.66;128;40;M;3;0;1;0;0;0;0;0;0;0;0
17/01/2017;22;12;4.68;112;43;F;3;0;2;0;0;0;0;0;0;0;0
18/01/2017;22;13;27.71;91;36;F;3;0;1;0;0;0;0;0;0;1;0
26/03/2019;22;14;-46.32;61;43;M;3;13;181;0;0;0;0;0;0;0;0
26/03/2019;22;15;-70.84;65;47;M;3;0;5;0;0;0;0;0;0;0;0
29/03/2019;22;18;-30.27;84;44;F;3;0;1;0;0;0;0;0;0;0;0
27/02/2017;23;5;10.71;74;36;F;3;33;1;0;0;0;0;0;0;0;0
27/02/2017;23;6;19.66;107;40;M;3;0;1;0;0;0;0;0;0;0;0
25/10/2018;23;8;8.1;83;38;M;3;0;1;0;0;0;0;0;0;0;0
15/11/2018;23;9;17.17;75;35;M;3;0;2;0;0;0;0;0;0;0;0
13/01/2017;23;11;7.37;46;31;M;3;0;10;0;0;0;0;0;0;0;0
17/01/2017;23;12;-7.83;50;35;F;3;0;1;0;0;0;0;0;0;0;0
