site;fish;parspeciesrichness;div_shannon;div_simpson;;temp;pH;conductivity;nitrogen;phosphorus;oxygen;netcen;updist;updist2;updist3;fishspeciesrichness;weight;length;confactor;Sex ;PI;gyro;tricho;glugea;ecto_screener;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine;endo_screener
4;12;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;47;31;15.16;F;0.65;0;77;0;ID;0;0;0;0;0;0;0;ID
4;13;0;0;1;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;49;33;14.85;F;0;0;0;0;ID;0;0;0;0;0;0;0;PH
4;15;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;190;53;35.85;M;0.08;0;10;0;SM;0;0;0;0;0;0;0;SM
4;15;0;0;1;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;122;43;28.37;F;0;0;0;0;ID;0;0;0;0;0;0;0;ID
4;16;2;0.450561209;0.277777778;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;155;56;27.68;F;0.35;1;5;0;SM;0;0;0;0;0;0;0;SM
4;17;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;46;37;12.43;M;0.49;0;58;0;SM;0;0;0;0;0;0;0;SM
4;18;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;29;31;9.35;F;0.4;0;48;0;SM;0;0;0;0;0;0;0;SM
4;19;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;17;28;6.07;M;0.88;0;104;0;SM;0;0;0;0;0;0;0;SM
4;20;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;20;28;7.14;F;0.13;0;15;0;SM;0;0;0;0;0;0;0;SM
5;1;1;0;0;;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;100;41;24.39;F;0.33;0;39;0;SM;0;0;0;0;0;0;0;SM
5;2;1;0;0;;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;25;26;9.62;M;0.14;0;17;0;SM;0;0;0;0;0;0;0;SM
5;3;3;0.576382067;0.309917355;;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;35;30;11.67;M;2.49;3;18;0;SM;1;0;0;0;0;0;0;SM
5;5;1;0;0;;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;54;34;15.88;M;0.12;0;14;0;SM;0;0;0;0;0;0;0;SM
5;6;2;0.173205207;0.079861111;;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;40;32;12.5;M;0.5;1;23;0;SM;0;0;0;0;0;0;0;SM
5;10;1;0;0;;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;28;28;10;M;0.1;0;12;0;SM;0;0;0;0;0;0;0;SM
5;11;1;0;0;;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;192;51;37.65;M;0.06;0;7;0;ID;0;0;0;0;0;0;0;PH
5;12;1;0;0;;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;30;38;7.89;M;0.43;0;51;0;ID;0;0;0;0;0;0;0;ID
5;13;1;0;0;;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;27;27;10;M;0.29;0;35;0;ID;0;0;0;0;0;0;0;ID
5;15;1;0;0;;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;20;29;6.9;F;0.13;0;15;0;ID;0;0;0;0;0;0;0;ID
5;16;1;0;0;;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;273;55;49.64;F;0.08;0;9;0;ID;0;0;0;0;0;0;0;ID
5;17;2;0.693147181;0.5;;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;4;19;2.11;M;3.34;0;1;0;ID;0;1;0;0;0;0;0;ID
